score_min,score_max,n_obs,n_bads,count,count_bads
400.0,400.0,954.1000000000003,954.1000000000003,21,21
410.0,410.0,1755.07,1663.18,25,23
420.0,420.0,2582.8099999999995,2281.6299999999997,29,26
430.0,430.0,3576.040000000001,3280.4400000000005,33,30
440.0,440.0,5016.25,4525.83,38,34
450.0,450.0,6200.03,5654.05,43,39
460.0,460.0,8599.14,7044.319999999999,49,39
470.0,470.0,10570.51,8871.1,55,46
480.0,480.0,13590.64,9790.480000000001,61,43
490.0,490.0,15039.810000000001,13543.62,67,59
500.0,500.0,18483.54,15663.26,73,62
510.0,510.0,21056.21,17466.059999999998,79,67
520.0,520.0,23792.670000000002,18712.22,84,67
530.0,530.0,28445.73000000001,20853.540000000008,90,67
540.0,540.0,33016.97999999999,22741.379999999997,95,66
550.0,550.0,36163.94000000001,22584.47,99,63
560.0,560.0,37743.81,23932.729999999992,103,62
570.0,570.0,41292.15000000001,25102.560000000005,106,64
580.0,580.0,43435.38999999999,23816.950000000008,108,62
590.0,590.0,47606.71,26715.189999999995,110,63
600.0,600.0,49018.979999999996,23883.409999999996,110,56
610.0,610.0,52969.30000000001,23113.610000000004,110,48
620.0,620.0,53314.37,20914.87,108,42
630.0,630.0,55146.810000000005,22481.289999999994,106,42
640.0,640.0,55452.65000000001,21972.920000000002,103,38
650.0,650.0,53013.63,18300.64,99,35
660.0,660.0,57160.91999999998,14128.859999999999,95,22
670.0,670.0,52743.14000000001,16061.79,90,27
680.0,680.0,49443.86999999999,13387.390000000001,84,20
690.0,690.0,51380.01000000001,6763.510000000001,79,10
700.0,700.0,45639.310000000005,10789.590000000002,73,17
710.0,710.0,45039.02000000001,8259.14,67,13
720.0,720.0,42379.060000000005,7467.379999999999,61,9
730.0,730.0,37002.60000000001,7232.950000000001,55,11
740.0,740.0,36834.80999999999,5769.0,49,7
750.0,750.0,31898.47000000002,4729.05,43,6
760.0,760.0,28895.110000000004,2793.56,38,4
770.0,770.0,26870.22,2283.54,33,3
780.0,780.0,22036.169999999995,0.0,29,0
790.0,790.0,19249.569999999996,1305.8600000000001,25,2
800.0,800.0,17604.409999999996,2826.16,21,3
